Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; focused post-hoc,Neutral Happy,LOT,Social Phobia,Social Phobia Raw,35,0.250605155808527,-0.09017194570527245,0.5388505144987841,0.1464895197884311,0.2498253521240357,0.1477917106934293,P20,0.1609973698257866,0.1609973698257866,0.2994660874870243,0.4013523091230198,1.0,1.0,0.423745886884469,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,LOT,Panic Disorder,Panic Disorder Raw,35,0.30555249451359484,-0.030833667006057077,0.579764878619336,0.07426339100326322,0.4068963919424156,0.015274207671225434,P7,0.3613756941731144,0.25107399643627654,0.3613756941731144,0.4013523091230198,1.0,1.0,0.1832904920547052,0.6920972323784285,0.351306776438185
All 35 participants; focused post-hoc,Neutral Happy,ROT,Social Phobia,Social Phobia Raw,35,0.29646230030132753,-0.04081673512230319,0.5730903613148867,0.08375277945354655,0.12849364653934384,0.46195663153872113,P27,0.08014566458382,0.08014566458382,0.325198743850038,0.4013523091230198,1.0,1.0,0.791925654066379,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,ROT,Panic Disorder,Panic Disorder Raw,35,0.21818349939828866,-0.12408513876731271,0.5140537618078561,0.20797672716512067,0.08375614187409944,0.6323979031815732,P27,-0.040002325363375724,-0.040002325363375724,0.31698250528367966,0.445457061744441,1.0,1.0,0.9314726332389773,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,O,Social Phobia,Social Phobia Raw,35,0.16072794546347335,-0.18228199312570084,0.4688613245483307,0.3563396317943764,0.19955133522667495,0.2504357022013421,P4,0.21851142723328576,0.11762712522204438,0.21851142723328576,0.6108679402189309,1.0,1.0,0.5464051684392919,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,O,Panic Disorder,Panic Disorder Raw,35,0.2611169422429309,-0.07900426239467548,0.5467843274867153,0.12974454140800587,0.3596420821688527,0.03383953706321863,P24,0.29884053019575196,0.23055108460882404,0.29884053019575196,0.4013523091230198,1.0,1.0,0.20303722237931177,0.7666600602315197,0.7106302783275912
All 35 participants; focused post-hoc,Neutral Happy,Frontal,Social Phobia,Social Phobia Raw,35,0.11118135782485519,-0.23060945219092305,0.42854978846216873,0.524876869819312,0.03805658821001331,0.8281712604645066,P20,-0.005953057051690967,-0.005953057051690967,0.17013148189578417,0.6998358264257494,1.0,1.0,0.9464814405308647,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,Frontal,Panic Disorder,Panic Disorder Raw,35,0.04463225180807593,-0.2929718219460199,0.37234076966271995,0.7990434794000129,0.10950549630160976,0.5311817981599188,P8,0.1985745136803981,-0.06733560317909199,0.1985745136803981,0.8660791742555496,1.0,1.0,0.8498908770558702,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,PO,Social Phobia,Social Phobia Raw,35,0.12987378552817555,-0.21257291261885872,0.44390799633241024,0.457120005672107,0.05504864420046206,0.7534580902970247,P20,0.016117892140619924,0.016117892140619924,0.19246637096291966,0.6853757797110075,1.0,1.0,0.9464814405308647,1.0,1.0
All 35 participants; focused post-hoc,Neutral Happy,PO,Panic Disorder,Panic Disorder Raw,35,0.2572860882675841,-0.08308405853615516,0.5438989040317715,0.13567434264702982,0.3682723603011501,0.029498965221898096,P8,0.3232988069683376,0.20047698672479733,0.3232988069683376,0.4013523091230198,1.0,1.0,0.20303722237931177,0.7666600602315197,0.6489772348817581
